PRODUCT_CD,FEE_TYPE,EFF_DATE,EXP_DATE,FLAT_AMT,PCT_RATE,MIN_AMT,MAX_AMT,WAIVER_RULE_CD,HANDLER_PGM,CURRENCY_CD,DESCRIPTION
CLAS,ANNU,2018-01-01,9999-12-31,0.00,0.00000,0.00,0.00,ALL,CBFEE01,USD,NO ANNUAL FEE - CLASSIC
GOLD,ANNU,2018-01-01,2022-12-31,75.00,0.00000,0.00,0.00,SPND,CBFEE01,USD,ANNUAL FEE - GOLD
GOLD,ANNU,2023-01-01,9999-12-31,95.00,0.00000,0.00,0.00,SPND,CBFEE01,USD,ANNUAL FEE - GOLD
PLAT,ANNU,2023-01-01,9999-12-31,395.00,0.00000,0.00,0.00,VIP,CBFEE01,USD,ANNUAL FEE - PLATINUM
BUSN,ANNU,2023-01-01,9999-12-31,150.00,0.00000,0.00,0.00,,CBFEE01,USD,ANNUAL FEE - BUSINESS
CLAS,LATE,2021-04-01,9999-12-31,39.00,0.00000,0.00,39.00,FRST,CBFEE02,USD,LATE PAYMENT FEE
GOLD,LATE,2021-04-01,9999-12-31,39.00,0.00000,0.00,39.00,FRST,CBFEE02,USD,LATE PAYMENT FEE
PLAT,LATE,2021-04-01,9999-12-31,29.00,0.00000,0.00,29.00,FRST,CBFEE02,USD,LATE PAYMENT FEE
BUSN,LATE,2021-04-01,9999-12-31,49.00,0.00000,0.00,49.00,,CBFEE02,USD,LATE PAYMENT FEE
CLAS,OVLM,2021-04-01,9999-12-31,35.00,0.00000,0.00,35.00,OPTI,CBFEE02,USD,OVER LIMIT FEE
GOLD,OVLM,2021-04-01,9999-12-31,35.00,0.00000,0.00,35.00,OPTI,CBFEE02,USD,OVER LIMIT FEE
CLAS,CASH,2020-01-01,9999-12-31,10.00,3.00000,10.00,0.00,,CBFEE03,USD,CASH ADVANCE FEE
GOLD,CASH,2020-01-01,9999-12-31,10.00,3.00000,10.00,0.00,,CBFEE03,USD,CASH ADVANCE FEE
PLAT,CASH,2020-01-01,9999-12-31,5.00,2.50000,5.00,0.00,,CBFEE03,USD,CASH ADVANCE FEE
BUSN,CASH,2020-01-01,9999-12-31,10.00,3.50000,10.00,0.00,,CBFEE03,USD,CASH ADVANCE FEE
CLAS,FRGN,2019-06-01,9999-12-31,0.00,2.75000,0.00,0.00,,CBFEE03,USD,FOREIGN TRANSACTION FEE
GOLD,FRGN,2019-06-01,9999-12-31,0.00,2.00000,0.00,0.00,,CBFEE03,USD,FOREIGN TRANSACTION FEE
PLAT,FRGN,2019-06-01,9999-12-31,0.00,0.00000,0.00,0.00,,CBFEE03,USD,NO FOREIGN TRANSACTION FEE
CLAS,RETN,2021-04-01,9999-12-31,29.00,0.00000,0.00,29.00,FRST,CBFEE02,USD,RETURNED PAYMENT FEE
GOLD,REPL,2015-01-01,9999-12-31,15.00,0.00000,0.00,15.00,LOST,CBFEE02,USD,CARD REPLACEMENT FEE
