RULE_ID,RULE_CLASS,RULE_SEQ,HANDLER_PGM,THRESHOLD_AMT,THRESHOLD_CNT,THRESHOLD_PCT,SCORE_POINTS,ACTION_CD,MCC_LIST,COUNTRY_LIST,EFF_DATE,EXP_DATE,ACTIVE_FLG,DESCRIPTION
FR000001,STAN,1,CAFRD01,0.00,6,0.00,25,SCOR,,,2019-01-01,9999-12-31,Y,VELOCITY - MORE THAN SIX AUTHS IN THE WINDOW
FR000002,STAN,1,CAFRD01,0.00,12,0.00,60,REFR,,,2019-01-01,9999-12-31,Y,VELOCITY - MORE THAN TWELVE AUTHS IN THE WINDOW
FR000003,STAN,2,CAFRD02,0.00,0,0.00,40,SCOR,,"RUS,PRK,IRN,SYR",2019-01-01,9999-12-31,Y,GEOGRAPHY - RESTRICTED COUNTRY
FR000004,STAN,2,CAFRD02,0.00,3,0.00,55,REFR,,,2020-03-01,9999-12-31,Y,GEOGRAPHY - THREE COUNTRIES IN TWENTY FOUR HOURS
FR000005,STAN,3,CAFRD03,2500.00,0,0.00,30,SCOR,,,2019-01-01,9999-12-31,Y,AMOUNT - SINGLE AUTH ABOVE 2500
FR000006,STAN,3,CAFRD03,0.00,0,80.00,45,SCOR,,,2019-01-01,9999-12-31,Y,AMOUNT - ABOVE EIGHTY PERCENT OF AVAILABLE
FR000007,STAN,4,CAFRD04,0.00,0,2.00,35,SCOR,,,2019-01-01,9999-12-31,Y,MERCHANT - CHARGEBACK RATE ABOVE TWO PERCENT
FR000008,STAN,4,CAFRD04,0.00,0,0.00,70,REFR,"5816,7995,6051",,2021-09-01,9999-12-31,Y,MERCHANT - HIGH RISK MCC
FR000009,HIGH,1,CAFRD01,0.00,3,0.00,60,REFR,,,2019-01-01,9999-12-31,Y,HIGH RISK BAND - VELOCITY ABOVE THREE
FR000010,HIGH,2,CAFRD03,500.00,0,0.00,65,REFR,,,2019-01-01,9999-12-31,Y,HIGH RISK BAND - AUTH ABOVE 500
FR000011,HIGH,3,CAFRD04,0.00,0,0.00,99,DECL,"5816,7995",,2021-09-01,9999-12-31,Y,HIGH RISK BAND AND HIGH RISK MCC - DECLINE
FR000012,STAN,5,CAFRD03,0.00,0,0.00,20,FLAG,,,2017-01-01,2020-12-31,N,WITHDRAWN 2020 - ROUND AMOUNT PATTERN
