MERCHANT_ID,MERCHANT_NAME,MCC,ACQUIRER_ID,COUNTRY_CD,CITY,HIGH_RISK_FLG,CHARGEBACK_RATE,SETTLE_ROUTE_CD,STATUS,ONBOARD_DATE
MRC000000000001,NORTHLAKE GROCERY COOPERATIVE,5411,ACQ00000001,USA,PORTLAND,N,0.04,DOM1,A,2004-01-12
MRC000000000002,HARBOUR POINT FUEL AND SERVICE,5541,ACQ00000001,USA,SEATTLE,N,0.11,DOM1,A,2006-08-30
MRC000000000003,CHESTNUT HILL PHARMACY,5912,ACQ00000002,USA,HARTFORD,N,0.02,DOM1,A,2001-11-05
MRC000000000004,TRANSATLANTIC AIRWAYS,4511,ACQ00000003,GBR,LONDON,N,0.38,INTL,A,1999-06-24
MRC000000000005,BEND OUTDOOR SUPPLY WAREHOUSE,5941,ACQ00000001,USA,BEND,N,0.07,DOM1,A,2003-05-17
MRC000000000006,RIVERWALK BISTRO,5812,ACQ00000002,USA,CHICAGO,N,0.19,DOM2,A,2012-02-09
MRC000000000007,CONGRESS AVENUE PARKING AUTHORITY,7523,ACQ00000002,USA,AUSTIN,N,0.01,DOM2,A,2015-07-14
MRC000000000008,BRIGHTON BEACH ELECTRONICS,5732,ACQ00000004,USA,BROOKLYN,Y,2.44,DOM2,A,2018-03-22
MRC000000000009,COMMERCE SQUARE OFFICE SUPPLY,5943,ACQ00000002,USA,MEMPHIS,N,0.06,DOM1,A,2007-09-11
MRC000000000010,POST STREET LAUNDRY,7211,ACQ00000001,USA,SAN FRANCISCO,N,0.00,DOM2,A,2009-10-28
MRC000000000011,BEACON HILL BOOKSELLERS,5942,ACQ00000002,USA,BOSTON,N,0.03,DOM1,A,2005-04-06
MRC000000000012,WILLOW BEND VETERINARY CLINIC,0742,ACQ00000001,USA,PORTLAND,N,0.02,DOM1,A,2010-12-01
MRC000000000013,EASTGATE TELECOM SERVICES,4814,ACQ00000004,USA,NEWARK,N,0.52,DOM2,A,2016-11-07
MRC000000000014,SOUTH FERNWOOD HARDWARE,5251,ACQ00000001,USA,DENVER,N,0.05,DOM1,A,2002-03-18
MRC000000000015,AMSTERDAM CANAL HOTELS BV,7011,ACQ00000005,NLD,AMSTERDAM,N,0.44,INTL,A,2008-10-15
MRC000000000016,TOKYO EXPRESS RAIL PASS,4112,ACQ00000005,JPN,TOKYO,N,0.09,INTL,A,2011-12-19
MRC000000000017,GLOBAL DIGITAL GOODS EXCHANGE,5816,ACQ00000004,MLT,VALLETTA,Y,4.87,INTL,S,2020-06-04
MRC000000000018,CASCADE RIDGE FLEET FUEL,5542,ACQ00000001,USA,BEND,N,0.08,DOM1,A,2013-02-25
MRC000000000019,PIONEER SQUARE POPUP MARKET,5999,ACQ00000001,USA,PORTLAND,N,0.00,,A,2023-08-15
MRC000000000020,HUNGARIAN CULTURAL FOUNDATION,8398,ACQ00000005,HUN,BUDAPEST,N,0.00,INTL,A,2019-05-03
